x_src,y_src,x_ref,y_ref,confidence,is_inlier
848.0000,264.0000,848.0101,264.0212,1.0000,1
248.0000,192.0000,247.9878,191.9808,1.0000,1
600.0000,40.0000,599.9838,39.9544,1.0000,1
768.0000,64.0000,767.9903,64.0088,1.0000,1
368.0000,256.0000,367.9944,256.0278,1.0000,1
336.0000,440.0000,336.0683,440.0145,1.0000,1
200.0000,480.0000,199.9970,480.0305,1.0000,1
632.0000,360.0000,631.9811,359.9791,1.0000,1
600.0000,360.0000,600.0283,360.0411,1.0000,1
584.0000,432.0000,584.0866,432.0104,1.0000,1
392.0000,288.0000,391.9724,288.0378,1.0000,1
736.0000,504.0000,735.9794,503.9772,1.0000,1
664.0000,304.0000,663.9884,304.0091,1.0000,1
752.0000,496.0000,752.0168,495.9971,1.0000,1
688.0000,16.0000,687.9871,16.0114,1.0000,1
968.0000,344.0000,968.0223,343.9339,1.0000,1
216.0000,224.0000,216.0039,223.9904,1.0000,1
408.0000,40.0000,407.9816,40.0000,1.0000,1
656.0000,256.0000,656.0081,256.0273,1.0000,1
216.0000,168.0000,215.9920,167.9826,1.0000,1
472.0000,336.0000,471.9373,335.9099,1.0000,1
400.0000,184.0000,399.9905,183.9226,1.0000,1
544.0000,280.0000,543.9460,280.0728,1.0000,1
72.0000,104.0000,72.0271,103.9572,1.0000,1
296.0000,312.0000,296.0019,311.9716,1.0000,1
544.0000,144.0000,543.9763,144.1396,1.0000,1
456.0000,24.0000,455.9805,23.9832,1.0000,1
248.0000,216.0000,248.0098,216.0055,1.0000,1
656.0000,120.0000,655.9648,119.9313,1.0000,1
904.0000,48.0000,904.0004,47.9390,1.0000,1
320.0000,344.0000,319.9536,344.0189,1.0000,1
184.0000,368.0000,184.0266,368.0182,1.0000,1
584.0000,168.0000,583.9119,167.9848,1.0000,1
848.0000,480.0000,847.9760,480.0117,1.0000,1
448.0000,40.0000,448.0648,40.0212,1.0000,1
824.0000,136.0000,823.9952,135.9874,1.0000,1
464.0000,520.0000,463.9579,520.0112,1.0000,1
880.0000,368.0000,879.9651,367.9850,1.0000,1
920.0000,192.0000,920.0134,191.9641,1.0000,1
328.0000,168.0000,328.0365,167.9597,1.0000,1
760.0000,88.0000,759.9916,87.9966,1.0000,1
744.0000,160.0000,743.9961,160.0222,1.0000,1
448.0000,432.0000,447.9955,431.9969,1.0000,1
560.0000,48.0000,560.0019,48.0059,1.0000,1
832.0000,496.0000,831.9847,495.9991,1.0000,1
624.0000,128.0000,623.9984,128.0186,1.0000,1
784.0000,80.0000,783.9843,80.0299,1.0000,1
648.0000,440.0000,648.0537,440.0450,1.0000,1
456.0000,272.0000,456.0085,271.9939,1.0000,1
152.0000,296.0000,152.0070,296.0209,1.0000,1
432.0000,40.0000,432.0335,40.0396,1.0000,1
768.0000,320.0000,768.0106,319.9833,1.0000,1
248.0000,480.0000,248.0152,479.9805,1.0000,1
416.0000,304.0000,416.0516,304.0346,1.0000,1
304.0000,48.0000,303.9968,48.0049,1.0000,1
576.0000,264.0000,575.9897,263.9048,1.0000,1
928.0000,520.0000,928.0055,519.9677,1.0000,1
368.0000,392.0000,368.0004,392.0578,1.0000,1
120.0000,400.0000,119.9738,399.9747,1.0000,1
440.0000,392.0000,440.0511,392.0473,1.0000,1
952.0000,264.0000,951.9790,264.0044,1.0000,1
136.0000,168.0000,136.0118,167.9854,1.0000,1
224.0000,264.0000,224.0064,263.9952,1.0000,1
320.0000,40.0000,320.0100,40.0294,1.0000,1
616.0000,352.0000,616.1032,351.9950,1.0000,1
232.0000,40.0000,231.9842,39.9885,1.0000,1
184.0000,208.0000,184.0069,208.0240,1.0000,1
832.0000,64.0000,832.0133,64.0169,1.0000,1
392.0000,304.0000,392.0081,304.0258,1.0000,1
576.0000,136.0000,576.0340,136.0154,1.0000,1
952.0000,96.0000,952.0107,96.0013,1.0000,1
208.0000,200.0000,208.0050,199.9544,1.0000,1
528.0000,40.0000,528.0492,39.9255,1.0000,1
64.0000,280.0000,64.0162,279.9919,1.0000,1
80.0000,160.0000,79.9914,159.9803,1.0000,1
632.0000,224.0000,632.0391,224.0512,1.0000,1
768.0000,480.0000,767.9761,480.0107,1.0000,1
192.0000,408.0000,191.9541,408.1290,1.0000,1
400.0000,168.0000,399.9934,167.9981,1.0000,1
384.0000,184.0000,384.0078,184.0229,1.0000,1
352.0000,240.0000,352.0130,239.9913,1.0000,1
808.0000,384.0000,807.9763,383.9712,1.0000,1
776.0000,200.0000,775.9929,199.9460,1.0000,1
304.0000,344.0000,304.0546,344.0282,1.0000,1
200.0000,432.0000,199.9697,431.9799,1.0000,1
112.0000,520.0000,112.0427,520.0525,1.0000,1
520.0000,136.0000,519.9326,136.0144,1.0000,1
504.0000,496.0000,503.9344,495.9410,1.0000,1
680.0000,248.0000,679.9515,247.9849,1.0000,1
448.0000,56.0000,447.9940,56.0078,1.0000,1
112.0000,144.0000,112.0124,143.9842,1.0000,1
680.0000,32.0000,679.9464,31.9890,1.0000,1
56.0000,432.0000,56.0509,432.1334,1.0000,1
680.0000,400.0000,679.9950,400.0166,1.0000,1
632.0000,448.0000,632.0699,448.0299,1.0000,1
104.0000,440.0000,104.0146,439.9760,1.0000,1
440.0000,424.0000,440.0005,423.9993,1.0000,1
64.0000,408.0000,63.9969,407.9303,1.0000,1
96.0000,432.0000,96.0275,432.0179,1.0000,1
984.0000,56.0000,984.0028,55.9964,1.0000,1
616.0000,144.0000,615.9520,143.9627,1.0000,1
864.0000,48.0000,863.9863,47.9855,1.0000,1
672.0000,376.0000,671.9891,375.9783,1.0000,1
936.0000,160.0000,936.0023,159.9968,1.0000,1
912.0000,344.0000,911.9482,344.0207,1.0000,1
424.0000,440.0000,423.9961,439.9847,1.0000,1
224.0000,416.0000,224.0889,415.9972,1.0000,1
176.0000,224.0000,176.0036,224.0079,1.0000,1
256.0000,200.0000,255.9886,200.0507,1.0000,1
912.0000,40.0000,912.0222,39.9775,1.0000,1
264.0000,480.0000,264.0179,480.0005,1.0000,1
912.0000,288.0000,912.0010,288.0022,1.0000,1
656.0000,16.0000,656.0146,16.0100,1.0000,1
104.0000,408.0000,103.9888,407.9768,1.0000,1
112.0000,480.0000,111.9648,480.0305,1.0000,1
720.0000,408.0000,720.0168,407.9796,1.0000,1
360.0000,360.0000,360.0300,360.0367,1.0000,1
208.0000,488.0000,207.9800,488.0107,1.0000,1
64.0000,80.0000,64.0079,80.0128,1.0000,1
464.0000,368.0000,464.0182,367.9949,1.0000,1
344.0000,448.0000,344.0218,448.0628,1.0000,1
320.0000,184.0000,320.0038,184.0254,1.0000,1
856.0000,56.0000,856.0212,56.0228,1.0000,1
344.0000,208.0000,343.9973,207.9863,1.0000,1
784.0000,352.0000,783.9980,351.9945,1.0000,1
400.0000,312.0000,399.9849,312.0620,1.0000,1
776.0000,272.0000,775.9825,271.9972,1.0000,1
832.0000,408.0000,831.9879,408.0027,1.0000,1
120.0000,248.0000,120.0279,248.0415,1.0000,1
64.0000,112.0000,63.9928,112.0061,1.0000,1
240.0000,96.0000,239.9927,96.0085,1.0000,1
240.0000,296.0000,240.0048,295.9989,1.0000,1
608.0000,176.0000,608.0375,176.0416,1.0000,1
320.0000,464.0000,320.0217,464.0249,1.0000,1
792.0000,312.0000,791.9739,311.9669,1.0000,1
720.0000,424.0000,720.0047,423.9930,1.0000,1
208.0000,400.0000,208.0101,399.9789,1.0000,1
376.0000,176.0000,376.0140,176.0052,1.0000,1
896.0000,384.0000,896.0140,384.0034,1.0000,1
904.0000,216.0000,904.0208,216.0765,1.0000,1
512.0000,328.0000,511.9389,327.9619,1.0000,1
600.0000,328.0000,599.9950,328.0133,1.0000,1
632.0000,488.0000,632.0122,487.9689,1.0000,1
768.0000,456.0000,767.9947,456.0091,1.0000,1
552.0000,352.0000,552.0539,352.0513,1.0000,1
16.0000,312.0000,15.9684,311.9749,1.0000,1
216.0000,472.0000,216.0205,472.2025,1.0000,1
648.0000,112.0000,648.1007,112.0164,1.0000,1
992.0000,256.0000,992.0105,256.0092,1.0000,1
408.0000,392.0000,407.9870,391.9839,1.0000,1
216.0000,496.0000,216.0145,496.0377,1.0000,1
152.0000,368.0000,151.9606,367.9770,1.0000,1
728.0000,496.0000,728.0112,495.9863,1.0000,1
800.0000,208.0000,799.9826,208.0205,1.0000,1
840.0000,400.0000,839.9837,399.9928,1.0000,1
848.0000,200.0000,847.9886,200.0137,1.0000,1
984.0000,32.0000,983.9968,31.9978,1.0000,1
920.0000,224.0000,919.9867,224.0299,1.0000,1
480.0000,72.0000,480.0751,71.9544,1.0000,1
40.0000,32.0000,40.0070,32.0134,1.0000,1
88.0000,328.0000,88.0007,328.0264,1.0000,1
152.0000,280.0000,151.9797,280.0778,1.0000,1
288.0000,176.0000,288.0005,176.0073,1.0000,1
1000.0000,64.0000,1000.0139,63.9914,1.0000,1
200.0000,288.0000,199.9851,288.0128,1.0000,1
528.0000,376.0000,527.8502,376.1198,1.0000,1
560.0000,344.0000,560.0303,344.0256,1.0000,1
336.0000,200.0000,335.9574,200.0201,1.0000,1
584.0000,240.0000,583.9340,239.9879,1.0000,1
936.0000,264.0000,935.9868,264.0158,1.0000,1
232.0000,520.0000,231.9945,519.9607,1.0000,1
208.0000,512.0000,208.0096,511.9933,1.0000,1
464.0000,264.0000,464.0002,264.0072,1.0000,1
552.0000,296.0000,551.9781,296.0544,1.0000,1
480.0000,432.0000,480.0131,432.0222,1.0000,1
528.0000,472.0000,528.0222,471.9483,1.0000,1
904.0000,328.0000,903.9601,328.0207,1.0000,1
472.0000,88.0000,472.0047,87.9936,1.0000,1
432.0000,408.0000,431.9940,407.9970,1.0000,1
472.0000,464.0000,472.0321,463.9512,1.0000,1
504.0000,440.0000,503.9520,439.9961,1.0000,1
184.0000,56.0000,184.0172,56.0282,1.0000,1
632.0000,144.0000,632.0021,144.0387,1.0000,1
272.0000,64.0000,271.9893,64.0257,1.0000,1
776.0000,400.0000,776.0306,400.0174,1.0000,1
336.0000,48.0000,336.0277,47.9678,1.0000,1
608.0000,80.0000,608.0098,80.0342,1.0000,1
608.0000,416.0000,608.0323,416.0669,1.0000,1
576.0000,424.0000,576.0386,423.9930,1.0000,1
688.0000,208.0000,688.0115,208.0185,1.0000,1
856.0000,296.0000,855.9759,295.9751,1.0000,1
864.0000,216.0000,864.0089,215.9824,1.0000,1
888.0000,448.0000,888.0063,448.0021,1.0000,1
536.0000,488.0000,536.0902,488.0677,1.0000,1
576.0000,384.0000,575.9587,383.9612,1.0000,1
536.0000,312.0000,535.9954,312.0546,1.0000,1
352.0000,384.0000,351.9642,384.0063,1.0000,1
976.0000,64.0000,975.7449,63.7972,1.0000,1
896.0000,240.0000,895.9943,240.0000,1.0000,1
456.0000,360.0000,455.9467,359.9419,1.0000,1
608.0000,376.0000,607.9695,375.9798,1.0000,1
576.0000,496.0000,575.9589,495.9641,1.0000,1
480.0000,112.0000,480.0084,112.0463,1.0000,1
624.0000,496.0000,623.9790,496.0182,1.0000,1
736.0000,480.0000,736.0056,479.9795,1.0000,1
504.0000,408.0000,503.9963,408.0253,1.0000,1
416.0000,208.0000,416.0455,208.0299,1.0000,1
240.0000,72.0000,240.0174,72.0085,1.0000,1
640.0000,296.0000,639.9948,296.0427,1.0000,1
56.0000,24.0000,55.9746,24.0068,1.0000,1
32.0000,296.0000,32.0648,295.9796,1.0000,1
64.0000,32.0000,63.9718,32.0041,1.0000,1
520.0000,480.0000,519.9265,480.0110,1.0000,1
888.0000,32.0000,887.9871,32.0094,1.0000,1
304.0000,456.0000,303.9227,456.0305,1.0000,1
288.0000,440.0000,288.0295,440.0208,1.0000,1
976.0000,88.0000,976.0033,88.0056,1.0000,1
440.0000,208.0000,440.0188,208.0629,1.0000,1
320.0000,64.0000,320.0039,63.9980,1.0000,1
464.0000,352.0000,463.9911,352.0131,1.0000,1
960.0000,256.0000,960.0084,256.0013,1.0000,1
856.0000,488.0000,856.0027,488.0067,1.0000,1
120.0000,136.0000,120.0097,136.0120,1.0000,1
888.0000,56.0000,888.0162,55.9924,1.0000,1
456.0000,440.0000,455.7919,439.9817,1.0000,1
448.0000,168.0000,448.0095,168.0603,1.0000,1
672.0000,224.0000,671.9838,224.0197,1.0000,1
768.0000,280.0000,768.0085,280.0141,1.0000,1
120.0000,328.0000,120.0030,328.0297,1.0000,1
280.0000,72.0000,280.0388,71.9488,1.0000,1
